id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
Melevir__cognitive_complexity-15,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted,-18.0,0.0,18.0,0.0,11.0,0.0,-0.004938449952477158,1.0,1.8221751424783252,0.0,,,,,,,,,,,0.0,0.0
Melevir__cognitive_complexity-15,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,1,final_answer_correct,True,True,submitted,-18.0,0.0,18.0,0.0,11.0,0.0,-0.004938449952477158,1.0,1.8221751424783252,0.0,,,,,,,,,,,0.0,0.0
Melevir__cognitive_complexity-15,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted,-18.0,0.0,18.0,0.0,11.0,0.0,-0.004938449952477158,1.0,1.8221751424783252,0.0,,,,,,,,,,,0.0,0.0
Melevir__cognitive_complexity-15,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted (exit_context),-18.0,0.0,18.0,0.0,11.0,0.0,-0.004938449952477158,1.0,1.8221751424783252,0.0,,,,,,,,,,,1.0,1.0
Melevir__cognitive_complexity-15,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted,-18.0,0.0,18.0,0.0,11.0,0.0,-0.004938449952477158,1.0,1.8221751424783252,0.0,,,,,,,,,,,0.0,0.0
ahawker__ulid-59,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted,-21.0,0.0,21.0,0.0,12.0,0.0,-0.08004035677571805,0.0,7.762932389410288,0.0,,,,,,,,,,,0.0,0.0
ahawker__ulid-59,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted (exit_context),-21.0,0.0,21.0,0.0,12.0,0.0,-0.08004035677571805,0.0,7.762932389410288,0.0,,,,,,,,,,,1.0,1.0
ahawker__ulid-59,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted (exit_context),-21.0,0.0,21.0,0.0,12.0,0.0,-0.08004035677571805,0.0,7.762932389410288,0.0,,,,,,,,,,,1.0,1.0
ahawker__ulid-59,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted,-21.0,0.0,21.0,0.0,12.0,0.0,-0.08004035677571805,0.0,7.762932389410288,0.0,,,,,,,,,,,0.0,0.0
ahawker__ulid-59,swe-agent-trajectories,model-all,swe-agent-llama-8b,swe-agent-llama-8b,,0,final_answer_correct,False,False,submitted,-21.0,0.0,21.0,0.0,12.0,0.0,-0.08004035677571805,0.0,7.762932389410288,0.0,,,,,,,,,,,0.0,0.0
