id,subject,run,run_slug_short,run_order,answered,error,is_correct,score_logreg,score_lightgbm,model,selected_score,available_correct_attempts,scored_attempts_for_problem
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,True,0.9967215962203477,0.9997774665717558,logreg,0.9967215962203477,5,5
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,False,1.0,0.42784456471888194,logreg,1.0,0,5
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,,True,0.7776466257687515,0.8052379690743684,logreg,0.7776466257687515,3,5
0ea11f5b-df09-4330-92cc-302a63c22008,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,True,0.9999999999098248,0.9905571180730616,logreg,0.9999999999098248,5,5
111d5872-2705-42c0-8df4-0fb386ba7084,biology,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,False,0.988660953008595,0.9995575464033972,logreg,0.988660953008595,1,5
11c1fcc0-bcad-4507-951b-550e19f1e2aa,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,False,0.9939077422361094,0.9992454534587096,logreg,0.9939077422361094,3,5
1440c195-fba2-48dc-a03d-7b9420891daf,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,True,0.9967282428524398,0.998998911625552,logreg,0.9967282428524398,4,4
1510d6bd-6785-456d-8988-b9382a3aef9c,biology,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,,True,0.7580945240121534,0.4033499558233338,logreg,0.7580945240121534,5,5
16318af5-cfa6-4b2c-bf25-9eb3ac468b48,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,False,0.9998209649656868,0.08749834621690857,logreg,0.9998209649656868,4,5
19962a30-eaf9-4b7e-86c7-17c02cdb01bd,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,,True,0.9205042254080799,0.9929330038702372,logreg,0.9205042254080799,4,5
1dba0086-bca8-4b25-8843-e6e428f9284d,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,,False,0.8160494869499979,0.09714805177649487,logreg,0.8160494869499979,3,5
1e2f4cbe-4a38-4dd3-9378-14df40f7599f,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,True,0.999645851724003,0.9820097821159344,logreg,0.999645851724003,4,4
1eca2503-b141-4f9f-ab10-e27d272c93b0,biology,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,False,0.9473592464150615,0.872630121787152,logreg,0.9473592464150615,0,5
20daab54-df1b-4006-a544-7198daee7847,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,True,0.9908926345948915,0.8946404032025569,logreg,0.9908926345948915,3,5
20fcf049-b356-45cf-83d8-833f280ee107,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,,True,0.9862243296942407,0.9627886040588284,logreg,0.9862243296942407,5,5
218df0c2-18db-495f-8c53-eb6758feaff2,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,True,0.9977259973069628,0.9977842341141538,logreg,0.9977259973069628,4,5
22f5a060-b2ba-4d68-8ad1-cbcbd58a788e,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,True,0.7946519784947084,0.9998395314379515,logreg,0.7946519784947084,5,5
239c543b-7543-445a-b492-89c994b9ba7c,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,True,0.9258212662867595,0.9996192802899739,logreg,0.9258212662867595,3,4
