id,subject,run,run_slug_short,run_order,answered,is_correct,predicted_answer,verify_verdict,verify_confidence,verify_error,verify_signed_score
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,True,Malonic acid,correct,100,,100.0
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,False,False,,correct,95,,95.0
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,True,"3a,4,7,7a-Tetrahydro-1-benzothiophene-1,1-dioxide",correct,85,,85.0
0ea11f5b-df09-4330-92cc-302a63c22008,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,True,\(\displaystyle \frac{\Delta T}{\Delta h} = -\frac{M g \beta}{\alpha R} \frac{1+\alpha \rho_s}{1+\alpha \beta \rho_s}\),correct,95,,95.0
111d5872-2705-42c0-8df4-0fb386ba7084,biology,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,False,Histone deacetylation,incorrect,50,,-50.0
11c1fcc0-bcad-4507-951b-550e19f1e2aa,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,True,\(\theta = \arccos\left( -\frac{\mu_0 q_e q_m}{4\pi L} \right)\),correct,100,,100.0
1440c195-fba2-48dc-a03d-7b9420891daf,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,True,7.59 μg,correct,100,,100.0
1510d6bd-6785-456d-8988-b9382a3aef9c,biology,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,True,"Multimeric open circular DNA, Open circular DNA, Linear DNA, Supercoiled DNA, Single-stranded circular DNA",correct,80,,80.0
16318af5-cfa6-4b2c-bf25-9eb3ac468b48,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,True,-f/(2T),correct,95,,95.0
19962a30-eaf9-4b7e-86c7-17c02cdb01bd,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,True,"\(\sigma(x, y, z) = \frac{Q}{4\pi abc \sqrt{\frac{x^2}{a^4} + \frac{y^2}{b^4} + \frac{z^2}{c^4}}}\)",correct,100,,100.0
1dba0086-bca8-4b25-8843-e6e428f9284d,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,True,\(\sqrt{\frac{s^2}{N} + \frac{a^2}{12N}}\),correct,90,,90.0
1e2f4cbe-4a38-4dd3-9378-14df40f7599f,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,True,\(3k_BT\),correct,95,,95.0
1eca2503-b141-4f9f-ab10-e27d272c93b0,biology,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,False,28,correct,100,,100.0
20daab54-df1b-4006-a544-7198daee7847,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,True,\( v_x^2 + \left(v_y - \sqrt{\left(\frac{GMm}{L}\right)^2 + \frac{2E}{m}}\right)^2 = \left(\frac{GMm}{L}\right)^2 \),correct,100,,100.0
20fcf049-b356-45cf-83d8-833f280ee107,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,True,\alpha = \frac{J}{k_B T},correct,96,,96.0
218df0c2-18db-495f-8c53-eb6758feaff2,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,True,\(\frac{\tau_f}{\tau_i} = \sqrt{\frac{b + a H_f^2}{b + a H_i^2}}\),correct,95,,95.0
22f5a060-b2ba-4d68-8ad1-cbcbd58a788e,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,True,K₃[Co(NO₂)₆],correct,100,,100.0
239c543b-7543-445a-b492-89c994b9ba7c,physics,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,True,\(R_{eq} = \frac{R}{3}\),correct,95,,95.0
23cb57a5-1c57-4f6e-8205-7ffb6116a16a,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,True,3-(trifluoromethyl)aniline,correct,95,,95.0
