id,subject,run,run_slug_short,run_order,answered,error,is_correct,score_logreg,score_lightgbm
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,True,0.9766630792509278,0.9998611164549125
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,,True,0.1026031212820251,0.6698089851110114
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,True,0.9967215962203477,0.9997774665717558
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,True,0.9948881769209226,0.9996125419173655
078d0957-0a51-46be-b820-da8f749b30b5,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,,True,0.883996321761912,0.09022661215452865
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,False,0.4445247412158434,0.24072969141370273
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,,False,0.5899843339786451,0.003914421723258688
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,False,1.0,0.42784456471888194
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,False,0.11159514549622172,0.9990021842279766
079657b3-e215-4944-8a67-8bb5347e4f15,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s4,deepseek/deepseek-v3.2_reasoning-auto_s4,4,True,,False,0.4619033454504645,5.330348621028812e-05
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto,deepseek/deepseek-v3.2_reasoning-auto,0,True,,False,0.029287474477176025,0.00022165260037214184
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s1,deepseek/deepseek-v3.2_reasoning-auto_s1,1,True,,True,0.26274796243693466,0.9148182554582549
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s2,deepseek/deepseek-v3.2_reasoning-auto_s2,2,True,,False,0.20635678468549543,0.011097119814948965
0949d931-d0ad-4146-86e7-ef725919e3de,chemistry,frontierscience/deepseek/deepseek-v3.2_reasoning-auto_s3,deepseek/deepseek-v3.2_reasoning-auto_s3,3,True,,True,0.1789658883080519,0.7972327922444172
