feature,mean_importance,std_importance
answer_rebound_from_trough,0.8994516117994067,0.0753175731308156
answer_n_chunks,0.8467733778885169,0.15511717614633777
answer_monotonicity,0.7833070876314314,0.19486466826134305
answer_peak_pos,0.6766067285833132,0.21137744731082597
answer_end_minus_reasoning_end,0.632738388449922,0.18931152327776213
reasoning_time_negative,0.630720774972667,0.06418701452403965
reasoning_time_positive,0.6307207749726664,0.06418701452404019
reasoning_peak_pos,0.6120232207969675,0.31183528398678784
total_n_chunks,0.5948782399585368,0.12490567533930423
answer_start_minus_reasoning_end,0.5811971310002058,0.1522467539619382
reasoning_max_rise,0.5447118319038728,0.3474367419447568
reasoning_positive_mass,0.5357736821944229,0.16307951506815888
answer_trough_pos,0.5303199566561506,0.22406411803200274
reasoning_mid_mean,0.5206994202292411,0.055420713363413435
reasoning_negative_mass,0.4555678854993966,0.08361270980680488
reasoning_n_chunks,0.4544299031647553,0.17566653792759332
answer_start,0.4412976570677182,0.2587677542324084
reasoning_fall_from_peak,0.40822342092044606,0.14834359317578782
reasoning_trough_pos,0.35991628166355843,0.22387041836667398
answer_mid_mean,0.34305512499052304,0.0688958676648974
answer_late_minus_early,0.34267957938727556,0.1648500529012385
answer_range_minus_reasoning_range,0.332575872501992,0.12669272741093
answer_range,0.3253197247835974,0.26218598222971984
answer_time_negative,0.32389979277816333,0.1952684228432083
reasoning_direction_changes,0.3172485155829747,0.22143708064739848
reasoning_early_mean,0.31562364147166855,0.14185867206364763
answer_end_minus_start,0.31115240542541417,0.1288620482277484
reasoning_range,0.2992133378117037,0.13350392449115198
reasoning_max,0.2881813357613212,0.13254345274668372
reasoning_end,0.2865791955846789,0.1582823024014952
answer_std,0.27391957595955285,0.1155549741480442
reasoning_max_drop_pos,0.27385415301342525,0.18768104404220698
reasoning_min,0.2691131149218514,0.22091956629735265
reasoning_curvature_abs_mean,0.2660109554747329,0.17835593304799624
reasoning_max_drop,0.256999834118588,0.16984415190874214
answer_max_drop,0.2560442548319769,0.13297474711477672
answer_minus_reasoning_mean,0.25524297670560336,0.14228218246050822
answer_positive_mass,0.2547507682113895,0.15558914574189286
answer_max_drop_pos,0.2482970621076086,0.11278761842764026
answer_early_mean,0.24722353720765425,0.15016160234611714
answer_max,0.24513119750516382,0.13363341349272861
reasoning_monotonicity,0.2450042305366192,0.12677776006064329
answer_fall_from_peak,0.24420352203813667,0.09426605541520153
answer_end,0.24326167464561488,0.08494675974253142
reasoning_max_rise_pos,0.2431861657601666,0.21960494794037635
reasoning_zero_crossings,0.2346206643711163,0.10838310190717534
reasoning_total_variation,0.23296929271898276,0.16385418564634083
reasoning_rebound_from_trough,0.22981257559911278,0.12616110072233533
answer_min,0.22013555302764382,0.22130055544912583
answer_time_positive,0.21851061733960594,0.17638978181236303
answer_negative_mass,0.2007837794949804,0.13442514425390872
reasoning_std,0.19465842651644466,0.08747258414998009
reasoning_end_minus_start,0.1849780771849494,0.15097339649039965
answer_max_rise_pos,0.17125665358047024,0.09399786440059033
answer_late_mean,0.16074198268949444,0.08802640836683197
answer_max_rise,0.15615954746731778,0.09249527337066345
reasoning_late_minus_early,0.14647036121718057,0.12404217093764056
reasoning_start,0.1303346820091383,0.0997811844479589
reasoning_late_mean,0.11185471664139321,0.06121949759132843
answer_direction_changes,0.10238534924410089,0.11704262503300317
answer_zero_crossings,0.09712928322144543,0.08334657785816006
answer_curvature_abs_mean,0.09165754235943452,0.0766011593202914
answer_total_variation,0.06640707548119189,0.03992044518388447
