feature,mean_importance,std_importance
answer_n_chunks,2.08003901282231,0.39759001863429155
answer_trough_pos,1.5595709657938142,0.2924014696579673
answer_max_rise_pos,0.8490048134873899,0.2376849704293706
answer_direction_changes,0.7965437418790551,0.32300404256511306
answer_rebound_from_trough,0.6891729580971848,0.18958473399840453
reasoning_traj_t16,0.6694534021594551,0.20134824912823615
answer_peak_pos,0.6594176598289999,0.39242254213265637
reasoning_traj_t03,0.6426358816250394,0.2914009209145988
answer_range_minus_reasoning_range,0.615659171737774,0.2112525975415956
answer_zero_crossings,0.6069111991552357,0.3309229254659033
reasoning_traj_t18,0.5796425855857767,0.2045858615665032
reasoning_max_rise,0.5743280047597925,0.4123612210472211
reasoning_total_variation,0.5278555572485278,0.27336703368320997
reasoning_max,0.4971071735607617,0.2586531194256228
answer_max,0.4959358112579418,0.12596668376593392
reasoning_std,0.46107466645876116,0.20880657850935758
reasoning_positive_mass,0.4580513501666689,0.1421657055678897
answer_fall_from_peak,0.44404233130662696,0.25688601134503913
reasoning_traj_t01,0.4414282546526557,0.14752154162173622
reasoning_n_chunks,0.439028461572087,0.08094066736708597
answer_max_drop,0.43469413476110735,0.13740258354020038
reasoning_traj_t06,0.4252907034077283,0.12643450840012707
reasoning_traj_t05,0.41574013993136455,0.22969006085470475
reasoning_traj_t11,0.41258942387424646,0.16807183108489882
answer_max_rise,0.39339434837181086,0.08384788384038318
reasoning_traj_t17,0.3535300899876434,0.14916509705791836
reasoning_time_negative,0.3472942344652023,0.09040538692676506
reasoning_time_positive,0.34729423446520147,0.09040538692676449
reasoning_zero_crossings,0.33990495172617946,0.2683201664936604
reasoning_max_drop_pos,0.33526799878683355,0.17568879222672762
answer_minus_reasoning_mean,0.3305032513605853,0.1399280919367231
answer_monotonicity,0.3293741234298774,0.08827732140999958
reasoning_traj_t13,0.314820753465599,0.2153283441745366
reasoning_direction_changes,0.31088756741490087,0.2967510155631032
reasoning_traj_t02,0.3088201011604533,0.20321400877585333
reasoning_max_drop,0.30264853476440307,0.27894736556345423
reasoning_traj_t04,0.2914994730060191,0.10612080643748956
reasoning_monotonicity,0.2908361943908046,0.19826832109352616
answer_max_drop_pos,0.28802311700366673,0.03278783229459935
reasoning_traj_t15,0.28595472354234835,0.19835245700111723
reasoning_start,0.27907514501631137,0.18616660190672335
reasoning_traj_t10,0.27340768999156867,0.23744549788907193
reasoning_trough_pos,0.2726106878660331,0.16897911846621022
reasoning_traj_t08,0.2633060155047024,0.2214168584673627
reasoning_peak_pos,0.26202616538718515,0.24771801759845152
reasoning_range,0.25903825532970365,0.14133080612253937
reasoning_traj_t07,0.24961819402863378,0.12822931075594013
answer_min,0.24736006258100848,0.10777069781833909
reasoning_curvature_abs_mean,0.24419681831024437,0.223873474093542
reasoning_traj_t14,0.2384903797718218,0.13199220043724344
reasoning_traj_t09,0.2331512048417803,0.18574819184011082
answer_traj_t13,0.21684078219721323,0.0933425164137592
answer_curvature_abs_mean,0.20869649025031012,0.1441385811154421
answer_traj_t14,0.2068478282502296,0.04888943511327204
reasoning_negative_mass,0.20173097994031627,0.1703811297612766
answer_end_minus_reasoning_end,0.18945615131569413,0.16743083622933072
answer_range,0.1879815780202241,0.09339227139393311
total_n_chunks,0.18658281028991883,0.13606409145529963
answer_start,0.1829852428619394,0.07040420807767636
answer_traj_t15,0.1766922517028066,0.023656023487885116
answer_mid_mean,0.17110382383985218,0.07927321092758967
answer_total_variation,0.17083495566400836,0.13459523510556617
reasoning_fall_from_peak,0.16919565581206883,0.11034431682266439
answer_traj_t12,0.1652581613393583,0.09500084816197185
reasoning_end_minus_start,0.16341422577815848,0.08281848507337507
reasoning_traj_t12,0.16082433828276663,0.17880637486074233
reasoning_min,0.1582045805809748,0.06824459546822698
answer_traj_t03,0.15750051460391573,0.029824867704110396
answer_early_mean,0.1575005146039155,0.029824867704110383
reasoning_max_rise_pos,0.15267403379657302,0.15984981329312692
answer_time_negative,0.1510064762473249,0.0994827050489274
answer_time_positive,0.15100647624732483,0.09948270504892714
answer_late_mean,0.14698879142750637,0.04949175979933315
answer_late_minus_early,0.13634730475824025,0.04835577711900329
reasoning_mid_mean,0.1349282946943184,0.07939023587042124
answer_traj_t16,0.13447110246580724,0.043262977226979374
answer_end,0.1325215328336946,0.0405067900802982
answer_traj_t18,0.12464872522946342,0.0260272746188116
answer_traj_t05,0.12375914890986266,0.050511275355570553
answer_positive_mass,0.11574353948368396,0.04241206754301372
answer_traj_t01,0.11544121212417686,0.06628490820560691
reasoning_late_mean,0.10135952158035422,0.0528012426167726
reasoning_early_mean,0.09934215253274874,0.09197105337817567
answer_traj_t09,0.09724387733142596,0.021425147136998734
answer_start_minus_reasoning_end,0.09637279665323606,0.061895424192011064
reasoning_late_minus_early,0.09234669150284583,0.07803207823735658
answer_traj_t04,0.09168972694090699,0.035013932309388374
answer_traj_t10,0.08677818373027855,0.034324882238085684
answer_end_minus_start,0.08654109242829021,0.06777580939062897
reasoning_rebound_from_trough,0.0722616971174593,0.04285694811966992
answer_negative_mass,0.07154102187091882,0.04613032990274412
answer_traj_t11,0.0666204389134359,0.03743822563268093
answer_traj_t02,0.059914219321183924,0.04265639928238049
answer_traj_t08,0.04726670837493961,0.030156105471398766
answer_traj_t06,0.04642840417274278,0.023070655072693614
answer_traj_t07,0.044198069343073056,0.041395613343014136
reasoning_end,0.04374047559272963,0.01182760444763899
answer_traj_t17,0.0402749173048695,0.06637440331833651
answer_std,0.034608482556699016,0.023710851018851047
