id,subject,failure_type,true_step_index,step_index,target,n_steps,step_pos,remaining_steps,slod_value,slod_centered,slod_from_start,slod_to_end,delta_prev,delta_next,abs_delta_prev,abs_delta_next,curvature,fall_from_peak,rebound_from_trough,is_peak_so_far,is_trough_so_far,reasoning_range,reasoning_monotonicity,reasoning_total_variation,reasoning_direction_changes,reasoning_curvature_abs_mean,reasoning_n_chunks,reasoning_peak_pos,reasoning_trough_pos,fold,prob_responsible
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,0,0,30,0.0,29.0,0.017941966360265127,0.10336219419681475,0.0,2.1896353077139317,0.0,-0.1199764857269372,0.0,0.1199764857269372,-0.1199764857269372,0.0,0.0,1.0,1.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.7085992472339456
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,1,0,30,0.034482758620689655,28.0,-0.10203451936667207,-0.01661429153012245,-0.1199764857269372,2.309611793440869,-0.1199764857269372,-2.43554712404638,0.1199764857269372,2.43554712404638,-2.3155706383194428,0.1199764857269372,0.0,0.0,1.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.8213670657837303
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,2,0,30,0.06896551724137931,27.0,-2.537581643413052,-2.4521614155765024,-2.555523609773317,4.745158917487249,-2.43554712404638,2.6721009606428154,2.43554712404638,2.6721009606428154,5.107648084689195,2.555523609773317,0.0,0.0,1.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.7265826392249232
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,3,0,30,0.10344827586206896,26.0,0.1345193172297634,0.21993954506631302,0.11657735086949828,2.0730579568444334,2.6721009606428154,0.08763071802736633,2.6721009606428154,0.08763071802736633,-2.584470242615449,0.0,2.6721009606428154,1.0,0.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.486771134947987
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,4,0,30,0.13793103448275862,25.0,0.22215003525712973,0.30757026309367935,0.2042080688968646,1.985427238817067,0.08763071802736633,-0.31038324178588894,0.08763071802736633,0.31038324178588894,-0.39801395981325527,0.0,2.7597316786701818,1.0,0.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.4467674694632183
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,5,0,30,0.1724137931034483,24.0,-0.08823320652875921,-0.002812978692209589,-0.10617517288902434,2.295810480602956,-0.31038324178588894,-2.3430904747857753,0.31038324178588894,2.3430904747857753,-2.0327072329998863,0.31038324178588894,2.449348436884293,0.0,0.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.6026056945692305
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,6,0,30,0.20689655172413793,23.0,-2.4313236813145345,-2.345903453477985,-2.4492656476747996,4.638900955388731,-2.3430904747857753,4.74525743422052,2.3430904747857753,4.74525743422052,7.088347909006295,2.653473716571664,0.10625796209851757,0.0,0.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.6025320777902545
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,7,0,30,0.2413793103448276,22.0,2.313933752905985,2.399353980742535,2.29599178654572,-0.10635647883178834,4.74525743422052,-7.399569860345693,4.74525743422052,7.399569860345693,-12.144827294566213,0.0,4.851515396319037,1.0,0.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.37616545124147266
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,8,0,30,0.27586206896551724,21.0,-5.085636107439708,-5.000215879603158,-5.103578073799973,7.293213381513905,-7.399569860345693,4.871365072806547,7.399569860345693,4.871365072806547,12.27093493315224,7.399569860345693,0.0,0.0,1.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.37848637871193613
GPT-4o_001_chat_b000_t00_e00-d3248f80,webshop,plan,28,9,0,30,0.3103448275862069,20.0,-0.21427103463316044,-0.12885080679661082,-0.23221300099342557,2.4218483087073572,4.871365072806547,-2.2858485249569753,4.871365072806547,2.2858485249569753,-7.157213597763523,2.5282047875391456,4.871365072806547,0.0,0.0,8.36379724337993,0.05424540129505842,40.36536287756065,9,3.221241639448122,30,0.631578947368421,0.7368421052631579,3,0.31785301160464624
