umap_x,umap_y,target,id,subject,final_answer_correct,is_correct
9.321436,11.183699,0,BFCL/000,Tool Use,False,False
7.8234262,7.633026,1,BFCL/001,Tool Use,True,True
8.320035,12.1011915,0,BFCL/002,Tool Use,False,False
10.286324,10.055522,0,BFCL/003,Tool Use,False,False
9.815656,10.025469,0,BFCL/004,Tool Use,False,False
11.63907,11.453504,0,BFCL/005,Tool Use,False,False
9.6705675,12.0546055,0,BFCL/006,Tool Use,False,False
11.148025,11.082334,1,BFCL/007,Tool Use,True,True
11.760594,11.4843,0,BFCL/008,Tool Use,False,False
10.370122,10.681832,1,BFCL/009,Tool Use,True,True
9.752424,9.411242,1,BFCL/010,Tool Use,True,True
10.138024,10.844603,1,BFCL/011,Tool Use,True,True
9.443908,12.085055,1,BFCL/012,Tool Use,True,True
9.728126,10.731693,1,BFCL/013,Tool Use,True,True
11.534004,11.308722,0,BFCL/014,Tool Use,False,False
11.231529,10.981118,0,BFCL/015,Tool Use,False,False
12.081644,11.401486,0,BFCL/016,Tool Use,False,False
11.635275,11.537175,0,BFCL/017,Tool Use,False,False
10.10515,11.207277,1,BFCL/018,Tool Use,True,True
9.994688,11.837428,1,BFCL/019,Tool Use,True,True
9.885789,10.740188,1,BFCL/020,Tool Use,True,True
9.91349,11.449704,0,BFCL/021,Tool Use,False,False
9.664959,10.653633,1,BFCL/022,Tool Use,True,True
12.10418,11.397905,0,BFCL/023,Tool Use,False,False
11.181964,11.244641,0,BFCL/024,Tool Use,False,False
10.121164,9.041321,0,BFCL/025,Tool Use,False,False
9.1077,12.337315,1,BFCL/026,Tool Use,True,True
11.950237,9.913218,0,BFCL/027,Tool Use,False,False
11.019473,11.237144,0,BFCL/028,Tool Use,False,False
10.415867,11.441807,1,BFCL/029,Tool Use,True,True
9.166339,11.881013,0,BFCL/030,Tool Use,False,False
8.91508,7.0005364,0,BFCL/031,Tool Use,False,False
9.952576,10.457176,0,BFCL/032,Tool Use,False,False
10.0191965,11.663894,1,BFCL/033,Tool Use,True,True
10.056912,11.708239,0,BFCL/034,Tool Use,False,False
12.057275,11.421781,0,BFCL/035,Tool Use,False,False
10.059285,8.339828,1,BFCL/036,Tool Use,True,True
11.917155,9.917854,0,BFCL/037,Tool Use,False,False
9.487817,10.641441,1,BFCL/038,Tool Use,True,True
9.070565,12.186907,0,BFCL/039,Tool Use,False,False
10.226198,11.435339,0,BFCL/040,Tool Use,False,False
11.89914,11.25555,0,BFCL/041,Tool Use,False,False
10.551528,11.412126,0,BFCL/042,Tool Use,False,False
8.823569,11.380473,0,BFCL/043,Tool Use,False,False
10.799559,11.86721,0,BFCL/044,Tool Use,False,False
11.051144,11.309545,1,BFCL/045,Tool Use,True,True
9.635708,12.010958,0,BFCL/046,Tool Use,False,False
9.195111,12.014874,0,BFCL/047,Tool Use,False,False
9.924541,12.403991,0,BFCL/048,Tool Use,False,False
9.072649,11.359525,0,BFCL/049,Tool Use,False,False
9.673329,11.39238,1,BFCL/050,Tool Use,True,True
11.493427,10.3071995,0,BFCL/051,Tool Use,False,False
8.2948885,8.457092,0,BFCL/052,Tool Use,False,False
10.191565,9.15282,1,BFCL/053,Tool Use,True,True
9.766811,12.3751955,0,BFCL/054,Tool Use,False,False
8.672005,11.550152,1,BFCL/055,Tool Use,True,True
9.641132,12.094253,0,BFCL/056,Tool Use,False,False
10.777691,11.89403,0,BFCL/057,Tool Use,False,False
10.822467,10.809153,0,BFCL/058,Tool Use,False,False
10.217086,11.662142,0,BFCL/059,Tool Use,False,False
8.732383,11.936005,0,BFCL/060,Tool Use,False,False
9.329377,12.095869,0,BFCL/061,Tool Use,False,False
11.770469,10.050633,0,BFCL/062,Tool Use,False,False
9.962134,11.691401,0,BFCL/063,Tool Use,False,False
10.70977,10.955004,0,BFCL/064,Tool Use,False,False
11.278398,11.015711,1,BFCL/065,Tool Use,True,True
8.782421,8.616376,0,BFCL/066,Tool Use,False,False
10.748543,10.6664,0,BFCL/067,Tool Use,False,False
8.126429,12.295604,1,BFCL/068,Tool Use,True,True
9.753525,10.461052,0,BFCL/069,Tool Use,False,False
8.5949745,11.610326,0,BFCL/070,Tool Use,False,False
11.247392,10.850124,0,BFCL/071,Tool Use,False,False
10.94385,9.240104,0,BFCL/072,Tool Use,False,False
8.894396,11.278425,1,BFCL/073,Tool Use,True,True
11.284068,10.6958685,0,BFCL/074,Tool Use,False,False
9.999563,11.613868,0,BFCL/075,Tool Use,False,False
10.387191,11.341116,0,BFCL/076,Tool Use,False,False
9.898629,11.451174,0,BFCL/077,Tool Use,False,False
10.3798,11.2815895,0,BFCL/078,Tool Use,False,False
10.548432,10.47593,1,BFCL/079,Tool Use,True,True
9.160409,12.350824,0,BFCL/080,Tool Use,False,False
9.55448,12.036215,0,BFCL/081,Tool Use,False,False
8.9886265,11.153474,0,BFCL/082,Tool Use,False,False
11.357965,10.122149,0,BFCL/083,Tool Use,False,False
8.087982,12.250534,1,BFCL/084,Tool Use,True,True
10.098856,11.916468,0,BFCL/085,Tool Use,False,False
9.430464,12.282803,0,BFCL/086,Tool Use,False,False
8.943425,12.078323,0,BFCL/087,Tool Use,False,False
11.785549,9.663574,1,BFCL/088,Tool Use,True,True
11.242349,10.435743,0,BFCL/089,Tool Use,False,False
11.927805,9.98229,1,BFCL/090,Tool Use,True,True
8.167663,12.260296,0,BFCL/091,Tool Use,False,False
9.187225,10.0279455,1,BFCL/092,Tool Use,True,True
9.432647,12.41168,0,BFCL/093,Tool Use,False,False
11.097674,11.78508,0,BFCL/094,Tool Use,False,False
9.601675,11.58578,1,BFCL/095,Tool Use,True,True
9.687137,12.234467,1,BFCL/096,Tool Use,True,True
9.011888,12.458236,0,BFCL/097,Tool Use,False,False
9.277428,12.530534,0,BFCL/098,Tool Use,False,False
9.752866,12.29874,1,BFCL/099,Tool Use,True,True
9.655545,10.638534,1,BFCL/100,Tool Use,True,True
9.8823395,12.3305435,0,BFCL/101,Tool Use,False,False
11.958615,11.376693,1,BFCL/102,Tool Use,True,True
10.899279,11.255691,0,BFCL/103,Tool Use,False,False
10.030834,10.932783,0,BFCL/104,Tool Use,False,False
8.533142,11.998626,1,BFCL/105,Tool Use,True,True
10.433683,11.281691,1,BFCL/106,Tool Use,True,True
10.826251,11.758899,1,BFCL/107,Tool Use,True,True
8.690159,9.135997,0,BFCL/108,Tool Use,False,False
9.069422,11.605851,1,BFCL/109,Tool Use,True,True
8.7886095,9.0921755,0,BFCL/110,Tool Use,False,False
9.082244,12.198259,0,BFCL/111,Tool Use,False,False
9.03715,10.679002,0,BFCL/112,Tool Use,False,False
9.379873,11.861592,1,BFCL/113,Tool Use,True,True
9.109667,11.559353,1,BFCL/114,Tool Use,True,True
9.282085,9.196795,0,BFCL/115,Tool Use,False,False
10.353643,11.218606,1,BFCL/116,Tool Use,True,True
9.449173,11.645943,0,BFCL/117,Tool Use,False,False
11.518967,10.228615,0,BFCL/118,Tool Use,False,False
