id,dataset,run_slug,subject,generator,model,target,target_label,is_correct,final_answer_correct,exit_status,premature_exit_score,premature_exit_flag,rambling_overlong_score,rambling_overlong_flag,thrashing_score,thrashing_flag,no_commitment_score,no_commitment_flag,derailment_late_score,derailment_late_flag,answer_drift_score,answer_drift_flag,answer_meandering_score,answer_meandering_flag,answer_volatility_score,answer_volatility_flag,answer_uncommitted_score,answer_uncommitted_flag,answer_overrange_score,answer_overrange_flag,truncation_abort_score,truncation_abort_flag
gsm8k-5,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.49204332738008616,0.0,1.2295086131122603,0.0,,,,,,,,,,,,
gsm8k-9,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.34498161844319497,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-11,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.6974848326366989,0.0,1.998363650286173,0.0,,,,,,,,,,,,
gsm8k-15,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.02535804466626347,1.0,0.0996045600144565,0.0,,,,,,,,,,,,
gsm8k-17,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.2902837803889171,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-21,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,3.0,0.0,-0.1363465585731051,0.0,0.509570233611486,0.0,,,,,,,,,,,,
gsm8k-22,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,2.0,0.0,-0.5576867359422539,0.0,2.309756288096703,1.0,,,,,,,,,,,,
gsm8k-28,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.21675784284760588,0.0,1.8079138769612304,0.0,,,,,,,,,,,,
gsm8k-30,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-31,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,5.0,1.0,-0.02513501908167245,1.0,0.54500710016229,0.0,,,,,,,,,,,,
gsm8k-42,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,3.0,0.0,-0.19821346471022983,0.0,1.0625667441742837,0.0,,,,,,,,,,,,
gsm8k-48,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.6688377191096464,0.0,1.8813716279177424,0.0,,,,,,,,,,,,
gsm8k-52,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,,,,,,,,,,,,
gsm8k-60,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.19670210566938262,0.0,0.7290342352743477,0.0,,,,,,,,,,,,
gsm8k-62,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.3696895221053012,0.0,1.3581234841531944,0.0,,,,,,,,,,,,
gsm8k-64,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.3176961613909539,0.0,2.3356035384493494,1.0,,,,,,,,,,,,
gsm8k-73,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,1.0,0.0,-0.18117469949541992,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-82,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-8.0,0.0,8.0,1.0,1.0,0.0,-0.2100341659822716,0.0,0.6257058997644127,0.0,,,,,,,,,,,,
gsm8k-88,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-7.0,0.0,7.0,1.0,1.0,0.0,-0.38223356835524175,0.0,1.2137463161529158,0.0,,,,,,,,,,,,
gsm8k-89,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.7598873140895275,0.0,1.9095425048844379,0.0,,,,,,,,,,,,
gsm8k-100,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.22593286050681094,0.0,2.2000916498101013,1.0,,,,,,,,,,,,
gsm8k-101,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.06818530220500309,1.0,0.0,0.0,,,,,,,,,,,,
gsm8k-106,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,,,,,,,,,,,,
gsm8k-107,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.12252245379957649,0.0,1.6054064723125965,0.0,,,,,,,,,,,,
gsm8k-111,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.20713487670733,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-112,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.7117701924462675,0.0,1.791759469228055,0.0,,,,,,,,,,,,
gsm8k-114,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.3641839681129315,0.0,1.5188175442660117,0.0,,,,,,,,,,,,
gsm8k-127,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.5203750668637369,0.0,1.5040773967762735,0.0,,,,,,,,,,,,
gsm8k-133,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.3898165772426064,0.0,1.9169504638441106,0.0,,,,,,,,,,,,
gsm8k-135,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.3868528072345415,0.0,1.3862943611198906,0.0,,,,,,,,,,,,
gsm8k-142,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,0.0,0.0,-1.0000000000000002,0.0,1.999977370325589,0.0,,,,,,,,,,,,
gsm8k-152,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.5147113296039328,0.0,1.4863778196768727,0.0,,,,,,,,,,,,
gsm8k-157,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.5160252706373019,0.0,0.45995477284582165,0.0,,,,,,,,,,,,
gsm8k-159,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.15208132195450513,0.0,1.4969374596199403,0.0,,,,,,,,,,,,
gsm8k-164,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.0655576685846452,1.0,0.15415067982725816,0.0,,,,,,,,,,,,
gsm8k-167,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.6422892598769482,0.0,1.9252908618525777,0.0,,,,,,,,,,,,
gsm8k-178,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,0,final_answer_correct,False,False,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.07977009284958347,1.0,0.0,0.0,,,,,,,,,,,,
gsm8k-210,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.04809234556139703,1.0,0.26501156462202,0.0,,,,,,,,,,,,
gsm8k-216,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.5316758790791993,0.0,1.5581446180465497,0.0,,,,,,,,,,,,
gsm8k-217,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.428754400920392,0.0,0.3250737255675743,0.0,,,,,,,,,,,,
gsm8k-220,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.3154034608884408,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-222,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.38945806246702186,0.0,1.6818114675460623,0.0,,,,,,,,,,,,
gsm8k-225,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.5242857203975185,0.0,2.1664529186694654,1.0,,,,,,,,,,,,
gsm8k-232,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.31609882124442246,0.0,1.4022947024663315,0.0,,,,,,,,,,,,
gsm8k-256,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-3.0,1.0,3.0,0.0,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-266,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.7622483454013568,0.0,0.2429991900142986,0.0,,,,,,,,,,,,
gsm8k-267,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,1.0,0.0,-0.456056840135197,0.0,1.55814461804655,0.0,,,,,,,,,,,,
gsm8k-283,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.08889392325787258,0.0,0.9164670461661528,0.0,,,,,,,,,,,,
gsm8k-288,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,3.0,0.0,-0.6107834242182463,0.0,1.9095425048844386,0.0,,,,,,,,,,,,
gsm8k-312,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,False,True,,-3.0,1.0,3.0,0.0,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-331,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,2.0,0.0,-0.4518450668591397,0.0,1.791759469228055,0.0,,,,,,,,,,,,
gsm8k-340,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-3.0,1.0,3.0,0.0,1.0,0.0,-0.5160252706373016,0.0,1.440784025857548,0.0,,,,,,,,,,,,
gsm8k-342,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.2392342832706686,0.0,0.8188299674801425,0.0,,,,,,,,,,,,
gsm8k-349,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.5721506542569406,0.0,1.928210571955912,0.0,,,,,,,,,,,,
gsm8k-354,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-7.0,0.0,7.0,1.0,4.0,1.0,-0.4257305877418956,0.0,1.963953664249248,0.0,,,,,,,,,,,,
gsm8k-355,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.4109793271580215,0.0,1.9905622522058015,0.0,,,,,,,,,,,,
gsm8k-361,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,3.0,0.0,-0.17231737062424632,0.0,0.0,0.0,,,,,,,,,,,,
gsm8k-365,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-6.0,0.0,6.0,0.0,2.0,0.0,-0.920685191173157,0.0,2.4383866341531073,1.0,,,,,,,,,,,,
gsm8k-373,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,1.0,0.0,-0.0,1.0,0.0,0.0,,,,,,,,,,,,
gsm8k-379,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-5.0,0.0,5.0,0.0,0.0,0.0,-1.0,0.0,2.484906649788,1.0,,,,,,,,,,,,
gsm8k-398,processbench,gsm8k,gsm8k,Llama-3.1-8B-Instruct,,1,final_answer_correct,True,True,,-4.0,0.0,4.0,0.0,2.0,0.0,-0.07713930583278143,1.0,1.713529057666114,0.0,,,,,,,,,,,,
