umap_x,umap_y,target,id,subject,exit_status,final_answer_correct,is_correct
28.168478,18.060707,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted (exit_context),False,False
28.231735,17.997381,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted (exit_context),False,False
28.23482,17.994276,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted (exit_context),False,False
28.177866,18.051142,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted,False,False
28.229239,17.999838,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted,False,False
28.289328,17.939816,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted,False,False
28.255379,17.973694,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted (exit_context),False,False
28.204582,18.024612,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted,False,False
28.185555,18.043583,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted,False,False
28.200598,18.028547,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted,False,False
28.174397,18.054638,0,AnalogJ__lexicon-336,swe-agent-llama-70b,submitted (exit_context),False,False
24.136032,13.817591,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.116325,13.7979,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.153322,13.83489,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.225473,13.907041,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.16651,13.848071,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.15809,13.83963,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.142006,13.823572,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.123697,13.805361,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.176075,13.857629,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.134329,13.815884,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.190252,13.871798,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.154724,13.836269,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.18428,13.8658285,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
23.994884,13.67644,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
24.15646,13.838002,0,Azure__azure-functions-python-worker-890,swe-agent-llama-70b,submitted,False,False
-17.344507,14.325916,1,Melevir__cognitive_complexity-15,swe-agent-llama-70b,submitted,True,True
-17.350864,14.193811,0,Melevir__cognitive_complexity-15,swe-agent-llama-70b,submitted,False,False
